first,second,max_tag,appearances
'',showed,VBD,1
JJ,Will,NNP,1
RB,inherited,VBN,1
VBN,retinoblastoma,NN,1
NN,supressor,NN,1
VB,reliably,RB,1
VBZ,retinal,JJ,1
NNP,doctor,NN,1
VBN,Thaddeus,NNP,1
VBZ,exploded,VBN,1
CC,uncommon,JJ,1
JJ,insights,NNS,1
VBZ,Samuel,NNP,1
IN,advances,NNS,1
VBP,fingered,VBN,1
DT,cancer-suppressors,NNS,1
PRP$,retinoblastoma,NN,1
CD,which,WDT,1
IN,impaired,VBN,1
JJ,colon,NN,1
NNS,cancerous,JJ,1
JJ,damaged,VBN,1
BOS,Colon,NN,1
CC,lethal,JJ,1
",",collectively,RB,1
TO,unmask,VB,1
JJ,suspected,VBN,1
VBN,tumor-suppressing,JJ,1
DT,inactivation,NN,1
JJ,scourges,NNS,1
DT,skin,NN,1
",",kidney,NN,1
",",prostate,NN,1
CC,cervix,NN,1
NNS,inherit,VBP,1
VBP,defective,JJ,1
RB,explaining,VBG,1
VBN,Alfred,NNP,1
PRP,theorized,VBD,1
DT,infant,NN,2
NN,inherited,VBD,1
CD,parent,NN,1
",",normal,JJ,1
``,two-hit,JJ,1
IN,ferreting,VBG,1
RP,specific,JJ,1
CD,pairs,NNS,1
IN,chromosomes,NNS,1
BOS,Occasionally,RB,1
",",gross,JJ,1
VBD,visible,JJ,1
VBD,inherited,VBN,1
WP$,loss,NN,1
WDT,gene,NN,1
VBD,disappeared,VBN,1
IN,molecular,JJ,1
JJ,geneticist,NN,1
NNP,Cavenee,NNP,1
``,gene,NN,1
'',snippets,NNS,1
MD,track,VB,1
NNS,extracted,VBN,1
VBD,defects,NNS,1
DT,chromosome,NN,1
NN,riveted,VBD,1
VBD,medicine,NN,1
NN,anyone,NN,1
DT,eruption,NN,1
VBD,extraordinarily,RB,1
JJ,biologist,NN,1
IN,Johns,NNP,1
DT,Cavenee,NNP,1
PRP$,was,VBD,1
DT,kidney,NN,1
VBN,Wilm,NNP,1
POS,tumor,NN,1
JJ,turned,VBD,1
TO,colon,NN,1
JJS,cancer,NN,1
NN,killer,NN,1
VBD,colon,NN,1
RB,arise,VB,1
``,hits,NNS,1
VBZ,preceded,VBN,1
IN,polyps,NNS,1
DT,bowel,NN,1
RB,malignant,JJ,1
IN,identifiable,JJ,1
:,progressing,VBG,1
TO,deadly,JJ,1
DT,cascade,NN,1
VB,occurring,VBG,1
",",Eric,NNP,1
NNP,Fearon,NNP,1
VBD,months,NNS,1
IN,tedious,JJ,1
JJ,probing,VBG,1
DT,chromosomes,NNS,1
NNS,searching,VBG,1
VBD,uncovering,VBG,1
JJ,deletions,NNS,1
IN,benign,JJ,1
CC,malignant,JJ,1
BOS,Gradually,RB,1
DT,coherent,JJ,1
",",benign,JJ,1
RB,deleted,VBN,1
MD,progress,VB,1
TO,malignancy,NN,1
NN,galvanized,VBD,1
DT,confirming,VBG,1
-LRB-,gene,NN,1
-RRB-,losses,NNS,1
VBZ,Ray,NNP,1
IN,Salt,NNP,1
TO,nail,VB,1
",",flipped,VBD,1
DT,colon,NN,1
IN,full-blown,JJ,1
JJ,malignancy,NN,1
",",experimentally,RB,1
RB,crawled,VBD,1
RB,constitute,VB,2
VBD,dubious,JJ,1
PRP$,doubts,NNS,1
IN,experiments,NNS,1
DT,deletion,NN,1
IN,exactly,RB,1
WDT,suppressed,VBD,1
POS,p53,NN,1
VBD,identical,JJ,1
POS,cancer,NN,1
VBD,unknowingly,RB,1
VBN,observing,VBG,1
DT,cancer-suppressing,JJ,1
``,suddenly,RB,1
NNP,Weinberg,NNP,1
IN,cancer-gene,JJ,1
IN,Whitehead,NNP,1
VBZ,emerging,VBG,1
IN,Edinburgh,NNP,1
CD,breast,NN,1
VBD,mutated,VBN,1
WRB,gene,NN,1
NN,p53,NN,1
IN,breast,NN,1
RB,strikes,VBZ,1
WRB,inherited,VBN,1
VBN,implicated,VBN,1
PRP,tested,VBD,1
VBD,are,VBP,1
VBP,reports,NNS,1
JJ,labs,NNS,1
RB,unpublished,JJ,1
VBG,p53,NN,1
JJ,tumor-suppressor,JJ,1
TO,isolate,VB,1
NNP,Bodmer,NNP,1
JJ,Britain,NNP,1
",",thought,VBD,2
WP,inherit,VBP,1
TO,lung,NN,1
DT,lung,NN,1
JJR,common,JJ,1
DT,discoveries,NNS,1
DT,Squibb,NNP,1
CC,Hoffmann-La,NNP,1
NNP,Roche,NNP,1
VBP,collaborating,VBG,1
IN,gene,NN,1
VBN,cascade,NN,1
JJ,therapies,NNS,1
VB,tumor,NN,1
DT,growth-controlling,JJ,1
VB,defective,JJ,1
TO,doing,VBG,1
DT,so,RB,1
DT,genesis,NN,1
VBP,Michael,NNP,1
PRP,together,RB,1
IN,Humpty,NNP,1
NNP,Dumpty,NNP,1
DT,glimmer,NN,1
RB,switching,VBG,1
VBD,lower-than-forecast,JJ,1
DT,Easy,NNP,1
CD,Minneapolis,NNP,1
JJ,untrue,JJ,1
DT,federal-court,JJ,1
VB,briskly,RB,1
JJS,Burger,NNP,1
NNP,fast-food,NN,1
TO,consume,VB,1
IN,liquefied,VBN,1
DT,bacteria-free,JJ,1
",",long-shelf-life,JJ,1
DT,hype,NN,1
-LRB-,Easy,NNP,1
VBP,pasteurized,VBN,1
DT,heat-using,JJ,1
",",caution,NN,1
VBZ,advisable,JJ,1
POS,break-even,JJ,1
DT,billion-pound,JJ,1
TO,debunk,VB,1
POS,talk,NN,1
IN,over-capacity,NN,1
DT,skeptics,NNS,1
JJ,Gaylord,NNP,1
NNP,arrangement,NN,1
DT,McDonald,NNP,1
IN,scornful,JJ,1
CC,Burger,NNP,1
NNS,independently,RB,1
VBG,Michael,NNP,1
NNS,reportedly,RB,1
VBP,Marriott,NNP,1
DT,region-by-region,JJ,1
IN,Marriott,NNP,1
CC,Marriott,NNP,1
JJ,short-sellers,NNS,1
VBP,management,NN,1
JJ,Dain-sponsored,JJ,1
",",replied,VBD,1
``,conservative,JJ,1
VBZ,Street,NNP,1
NNP,Kinnard,NNP,1
VBZ,misunderstood,VBN,1
DT,packaged,VBN,1
JJ,rhino,NN,1
CC,drought-related,JJ,1
PRP$,potato,NN,1
CC,justifies,VBZ,1
IN,shell,NN,2
",",Papetti,NNP,1
NNP,High-Grade,NNP,1
DT,aseptically,RB,1
RB,packaged,VBN,1
VBN,liquefied,VBN,1
VBN,item,NN,1
VBN,Table,NNP,1
NNP,Ready,NNP,1
NNP,Papetti,NNP,1
VBZ,Marriott,NN,1
NNP,Cohodes,NNP,1
RB,processes,VBZ,1
VBZ,potatoes,NNS,1
IN,spuds,NNS,1
JJ,growing,NN,1
VBG,spot,NN,1
IN,potatoes,NNS,1
WP,Michael,NNP,1
NNP,contracted,VBD,1
PRP$,contracted-for,JJ,1
NN,little-known,JJ,1
",",figures,VBZ,1
NN,53%-owned,JJ,1
JJ,R.R.,NNP,1
NNP,Donnelley,NNP,1
DT,Quebecor,NNP,1
NN,Parade,NNP,1
",",Sports,NNP,1
JJS,step,NN,1
JJR,design,NN,1
CC,printing,NN,1
VBN,vertical,JJ,1
VBN,scale,NN,1
:,Quebecor,NNP,1
NNP,doorstep,NN,1
IN,chopping,VBG,1
DT,newsprint,NN,1
TO,flinging,VBG,1
DT,porch,NN,1
VBP,Quebecor,NNP,1
IN,Donnelley,NNP,1
VBZ,Jacques,NNP,1
NNP,Massicotte,NNP,1
IN,Nesbitt,NNP,1
NNP,Deacon,NNP,1
``,Quebecor,NNP,1
VBZ,positioned,VBN,1
TO,Donnelley,NNP,1
``,Size,NN,1
WP,counts,VBZ,1
POS,ventures,NNS,1
JJR,push,NN,1
PRP,three,CD,1
JJ,Quebecor,NNP,1
",",specializing,VBG,1
CC,distributing,NN,1
NN,circulars,NNS,1
RB,lags,VBZ,1
NNP,circulars,NNS,1
RB,Montreal,NNP,1
JJ,French-language,JJ,1
TO,"80,000",CD,1
CC,plunged,VBD,2
TO,under,IN,1
NNP,strike,NN,2
NNP,stuck,VBD,1
",",flush,JJ,1
CC,hugely,RB,1
IN,weekend,NN,1
CC,outsells,VBZ,1
DT,weekday,NN,1
VBN,Balzac,NNP,1
VBZ,tabloid,JJ,1
IN,A,DT,2
TO,Z,NN,1
VBG,18-month-old,JJ,1
JJ,Montreal,NNP,1
:,dailies,NNS,1
CC,Winnipeg,NNP,1
",",Manitoba,NNP,1
IN,weeklies,NNS,1
JJ,province-wide,JJ,1
IN,Donohue,NNP,1
",",subsidiary,NN,1
VBG,printing,NN,1
CC,Maxwell,NNP,1
IN,coast,NN,1
TO,coast,NN,1
BOS,Caisse,NNP,1
IN,Depot,NNP,1
NNP,et,CC,3
CC,Placement,NNP,1
NN,pension-fund,NN,1
BOS,Pierre-Karl,NNP,1
IN,BCE,NNP,1
VB,disposed,VBN,1
JJ,reshuffling,VBG,1
VBG,Macmillan,NNP,1
CC,Official,NNP,1
POS,multiple,JJ,1
NN,Class,NN,1
NNP,Forman,NNP,1
IN,Kerlone,NNP,1
DT,hypertension,NN,1
BOS,Searle,NNP,1
IN,Monsanto,NNP,1
``,beta-blocker,NN,1
'',high-blood-pressure,JJ,1
NN,Kerlone,NNP,1
IN,Lorex,NNP,1
CC,Synthelabo,NNP,1
POS,L'Oreal,NNP,1
NNP,Equal,NNP,1
CD,violates,VBZ,1
NN,intervened,VBD,1
POS,age-bias,JJ,1
NN,challenges,VBZ,1
VBZ,Connecticut,NNP,1
NNP,Isaac,NNP,1
WP$,appointment,NN,1
VBN,age,NN,1
",",assigned,VBN,1
NNP,Kimba,NNP,1
",",reinstatement,NN,1
IN,retired,VBN,1
TO,eradicate,VB,1
-RRB-,unlawful,JJ,1
DT,mandatory-retirement,JJ,1
PRP,deprives,VBZ,1
:,age,NN,1
PRP$,competence,NN,1
'',Justice,NNP,1
NNS,performing,VBG,1
CC,responsibilities,NNS,1
RB,eligible,JJ,1
VB,reappointed,VBN,1
VB,narrow,VB,2
JJ,age-discrimination,JJ,1
TO,elected,VBN,1
",",elected,VBN,1
TO,two-year,JJ,1
IN,Court,NN,2
VBP,appointed,VBN,1
VB,proceedings,NNS,1
NNP,age-bias,JJ,1
NNP,Second,NNP,1
BOS,Aaron,NNP,1
NNP,Ment,NNP,1
POS,intervention,NN,1
``,trial,NN,1
NN,referees,NNS,1
CC,serve,VBP,1
VBN,role,NN,1
BOS,ORGANIZED,VBN,1
VBN,CRIME,NN,1
NN,Strike,NN,1
NN,Forces,NNS,1
VBP,autonomous,JJ,1
VBP,exclusively,RB,1
IN,prosecuting,VBG,1
VBG,organized-crime,NN,1
DT,strike-force,NN,1
DT,supervision,NN,1
TO,disband,VB,1
CD,appropriation,NN,1
JJ,law-enforcement,NN,1
CC,drug-interdiction,NN,1
WDT,prohibited,VBD,1
VBG,budgeted,VBN,1
MD,needlessly,RB,1
RP,longtime,JJ,1
",",tightly,RB,1
RB,knit,VBN,1
VBN,crime-fighting,JJ,1
VBP,successfully,RB,1
PRP,predict,VBP,1
DT,organized-crime,NN,1
VBP,dissolved,VBN,1
JJ,strike-force,NN,1
VB,Morrison,NNP,1
CC,Weinstein,NNP,1
IN,strike-force,NN,1
VBN,omnibus,NN,1
-RRB-,going,VBG,1
BOS,WHITMAN,NNP,1
CC,RANSOM,NNP,1
NNP,recruits,VBZ,2
VBZ,lawyers,NNS,1
DT,204-lawyer,JJ,1
IN,associates,NNS,1
IN,Golenbock,NNP,1
CC,Barell,NNP,1
BOS,Golenbock,NNP,1
VB,invited,VBN,1
VB,Whitman,NNP,1
TO,partners,NNS,1
BOS,Whitman,NNP,1
NN,Maged,NNP,1
NNP,Riad,NNP,1
BOS,SHORT,NNP,2
NNP,SKIRTS,NNP,1
JJ,county,NN,1
NN,plead,VB,1
DT,drunk-driving,JJ,1
PRP$,skirt,NN,1
PRP,plea,NN,1
JJ,skirt,NN,1
VBD,inappropriate,JJ,1
NN,rescheduled,VBD,1
BOS,Kelly,NNP,1
NNP,Siegler,NNP,1
",",disputed,VBD,1
VBD,suggestions,NNS,1
VBD,sexist,JJ,1
VBN,Judge,NNP,1
NNP,turn,VB,1
RP,male,JJ,1
NNS,dressed,VBN,1
IN,shorts,NNS,1
TO,level,VB,1
VBP,countersuing,VBG,1
WDT,described,VBD,1
WDT,Sony,NNP,1
NNP,Schulof,NNP,1
PRP$,CBS,NNP,1
JJ,oral,JJ,1
BOS,Wayne,NNP,1
NNP,representing,VBG,1
PRP,terminate,VB,1
DT,duo,NN,1
JJ,sworn,JJ,2
JJ,affidavits,NNS,1
NNS,denying,VBG,1
NN,exist,VB,1
VBG,written,VBN,1
``,nonsense,NN,1
RB,fulfilling,VBG,1
``,impractical,JJ,1
'',Warner,NNP,1
RB,silly,RB,1
IN,suggesting,VBG,1
MD,simultaneously,RB,1
DT,Woodland,NNP,1
NN,unfolded,VBD,1
CD,jet,NN,1
JJ,Machinists,NNS,1
WRB,Boeing,VBG,1
RP,daily,RB,1
VBG,indicated,VBD,1
PRP$,27th,JJ,1
NN,capitalized,VBD,1
DT,ravenous,JJ,1
JJ,airliners,NNS,1
CD,Machinists,NNS,1
NNS,rank,NN,2
VBG,'s,POS,1
CD,stood,VBD,1
NN,shrink,VB,1
JJR,planes,NNS,1
VB,deferred,VBN,1
JJ,supervisors,NNS,1
JJ,non-striking,JJ,1
DT,graveyard,NN,1
POS,747-400,JJ,1
JJ,jets,NNS,1
NNP,Brannon,NNP,1
VB,nobody,NN,1
RP,long,RB,2
VB,unraveled,VBN,1
JJ,gymnastics,NNS,1
``,faces,VBZ,1
DT,V-22,NNP,1
NNP,Osprey,NNP,1
NNP,tilt-rotor,JJ,1
POS,next-generation,JJ,1
JJ,fighter,NN,1
",",production-rate,JJ,1
VBN,implemented,VBN,1
NN,skill-dilution,JJ,1
CC,subcontractors,NNS,1
VBG,heightened,VBN,1
DT,unsteady,JJ,1
NNS,pact,NN,1
",",accords,NNS,1
DT,Puget,NNP,1
CC,Wichita,NNP,1
",",areas,NNS,1
POS,helicopter,NN,1
VB,cost-of-living,JJ,1
``,insulting,JJ,1
TO,reconfigure,NN,1
VBD,Boeing,NNP,1
NN,skins,NNS,1
DT,KC-135,NNP,1
NNP,tanker,NN,1
NN,relates,VBZ,1
POS,aluminum,NN,1
IN,KC-135s,NNS,1
DT,grounds,NNS,1
VBD,borne,VBN,1
-RRB-,pipeline,NN,1
VB,natural,JJ,1
JJ,Nova,NNP,1
TO,kick,VB,1
IN,still-undeveloped,JJ,1
POS,Mackenzie,NNP,1
DT,pre-emptive,JJ,1
VBD,Rick,NNP,1
JJ,Independent,NNP,1
``,Foothills,NNS,1
NNS,wants,VBZ,1
NN,insofar,RB,1
DT,Arctic,NNP,1
JJS,natural,JJ,1
VBD,conditional,JJ,1
VBP,Shell,NNP,1
:,Esso,NNP,1
VBZ,71%-owned,CD,2
-LRB-,National,NNP,1
-RRB-,approval,NN,1
RB,waved,VBD,1
NNP,Koerner,NNP,1
IN,Brady,NNP,1
CC,Berliner,NNP,1
RB,updating,VBG,1
",",TransCanada,NNP,1
POS,Polar,NNP,1
NNP,consortium,NN,1
JJ,Arctic,NNP,1
NN,east,JJ,1
CC,Nova,NNP,1
DT,pipelines,NNS,1
VBG,west,NN,1
VBZ,virgin,JJ,1
",",unclaimed,JJ,1
CD,observer,NN,1
``,Neither,CC,1
RP,easily,RB,1
DT,Foothills,NNP,1
RB,Canadian,JJ,1
VBP,US$,$,1
RB,US$,$,1
POS,US$,$,1
NNP,Ziff,NNP,1
VB,Alaskan,JJ,1
DT,Prudhoe,NNP,1
CC,Alaskan,JJ,1
CC,Mackenzie,NNP,1
MD,flow,VB,1
CC,Foothills,NNP,1
RBR,north,RB,1
",",Foothills,NNP,1
JJR,pipeline,NN,1
NN,connecting,VBG,1
VBG,Mackenzie,NNP,1
NNP,reserves,NNS,1
NNP,mainline,NN,1
NNP,Stoneman,NNP,1
MD,lengthen,VB,1
CC,bog,VB,1
BOS,Interprovincial,NNP,1
NN,rumored,VBN,1
IN,Interprovincial,NNP,1
POS,Calgary-based,JJ,1
",",Interhome,NNP,1
POS,pre-emptive,JJ,1
POS,their,PRP$,1
POS,tougher,JJR,1
JJR,stance,NN,1
VB,low-income,JJ,1
NNS,obtain,VB,1
VB,low-interest,JJ,1
RP,proposed,VBN,1
VBN,acquisitions,NNS,1
IN,reinvestment,NN,1
NN,compliance,NN,1
JJ,petitions,NNS,1
CC,scuttled,VBN,1
VBN,mergers,NNS,1
VBZ,allegations,NNS,1
",",N.C.-based,JJ,1
DT,reinvestment,NN,1
NNP,legal,JJ,1
NN,challenged,VBD,1
``,shut,VBN,1
IN,contact,NN,1
DT,low-income,JJ,1
VBZ,redlining,VBG,1
TO,moderate-income,JJ,1
NNP,examination,NN,1
POS,Florida,NNP,1
MD,cooperate,VB,1
``,demonstrate,VB,1
RB,missed,VBD,2
VBG,franchise,NN,1
NNP,Canyon,NNP,1
RB,complied,VBN,1
",",signaled,VBD,1
NN,instructions,NNS,1
PRP$,experts,NNS,1
IN,difficulty,NN,1
NN,reselling,VBG,1
DT,snag,NN,1
BOS,Forty,CD,1
DT,about-face,NN,1
RB,pledging,VBG,1
NNS,successfully,RB,1
",",contended,VBD,1
NNS,targets,NNS,1
VBD,projecting,VBG,1
BOS,Ernst,NNP,1
VB,projections,NNS,1
NN,disputed,VBD,1
DT,assessments,NNS,1
",",Joel,NNP,1
NNP,Zweibel,NNP,1
VBN,instructed,VBN,1
DT,consentual,JJ,1
CD,status,NN,1
RP,was,VBD,1
RBR,valid,JJ,1
VBZ,exceeding,VBG,1
VBZ,predicted,VBN,1
JJR,flights,NNS,1
",",Fiscal,NN,2
DT,single-A-minus,JJ,1
BOS,Collateralized,NNP,1
NNP,1989-3,CD,1
VBG,Remics,NNS,1
BOS,Beneficial,NNP,1
IN,30-day,JJ,1
JJ,double-A-rated,JJ,1
RB,yields,VBZ,1
IN,BCI,NNP,1
NNP,Asset-Backed,NNP,1
NNP,Certificates,NNP,2
NNP,1989-1,NNP,1
IN,RCSB,NNP,1
JJ,Eurobonds,NNS,1
BOS,A$,$,1
CD,3\/16,CD,1
IN,1\/16,CD,1
POS,Cie,NNP,1
VBD,French,JJ,1
BOS,Munich-based,JJ,1
JJ,Allianz,NNP,1
JJ,explanatory,JJ,1
DT,tacit,JJ,1
TO,broad,JJ,1
VBG,eagerness,NN,1
WP,until,IN,1
VBN,internal,JJ,1
VBN,eagerness,NN,1
VB,Banque,NNP,1
NNP,Placements,NNP,1
CC,canceled,VBD,2
BOS,Lately,RB,1
VBZ,shocked,VBN,1
IN,indicating,VBG,1
DT,Deutsche,NNP,1
PRP$,concept,NN,1
RBR,announced,VBN,1
IN,"1,908",CD,1
DT,Navigation,NNP,1
RB,Paribas,NNP,1
VBD,acting,VBG,1
WDT,ties,VBZ,1
TO,Navigation,NNP,1
RB,bidding,VBG,1
NNP,wins,VBZ,1
",",remaining,JJ,1
DT,displeases,VBZ,1
PRP,tendered,VBD,1
VBD,counting,VBG,1
RP,Paribas,NNP,1
VB,whom,WP,1
VBZ,fit,JJ,1
VBZ,French,JJ,1
VB,"1,800",CD,1
BOS,Penn,NNP,1
VB,Noranda,NNP,1
IN,Pawtucket,NNP,1
VBG,supplier,NN,1
CC,original,JJ,1
MD,complement,VB,1
IN,Carol,NNP,1
PRP$,Petrocorp,NNP,1
JJ,Alberta,NNP,1
IN,forestry,NN,1
VBP,stakes,NNS,1
IN,Provost,NNP,1
RB,"247,000",CD,1
BOS,Petrocorp,NNP,1
JJ,stand-alone,JJ,1
",",Longmont,NNP,1
DT,one-inch,JJ,1
",",80-megabyte,JJ,1
IN,high-performance,JJ,1
CD,1\/2-inch,JJ,1
IN,schemes,NNS,1
VBG,counting,NN,1
VB,dealers,NNS,1
VBG,segment,NN,1
NN,receive,VBP,1
",",Huntington,NNP,1
TO,rapid,JJ,1
NNP,Shane,NNP,1
BOS,Bancroft,NNP,1
NNP,Convertible,NNP,1
MD,reject,VB,1
VB,Bancroft,NNP,1
BOS,Sigmund,NNP,1
",",Bancroft,NNP,1
IN,Bancroft,NNP,1
DT,Bancroft,NNP,1
VBD,Bancroft,NNP,1
VBZ,contending,VBG,1
NN,contended,VBD,2
:,whose,WP$,1
VBP,represented,VBN,1
TO,trusts,NNS,1
",",Wendy,NNP,1
NN,assembled,VBD,1
BOS,Singer,NNP,1
NNP,Bette,NNP,1
WDT,threatens,VBZ,1
``,sound-alike,JJ,1
'',performers,NNS,1
CD,Mercury,NNP,1
JJ,backup,NN,1
WP,appeared,VBD,1
CC,crooned,VBD,1
IN,credible,JJ,1
CD,hit,NN,1
NNP,You,PRP,1
PRP,Wanna,NNP,1
NNP,Dance,NNP,1
VBZ,deliberately,RB,1
VBP,appropriated,VBN,1
RB,theirs,JJ,1
NNP,liable,JJ,1
CC,bearable,JJ,1
NNP,Laird,NNP,1
NN,reaffirms,VBZ,1
IN,impunity,NN,1
NN,imitate,VBP,1
WDT,belongs,VBZ,1
DT,performer,JJ,1
VBG,punitive,JJ,1
RBR,rethink,VB,1
VBP,famous,JJ,1
JJ,songs,NNS,1
POS,appeals,NNS,1
",",spawned,VBD,1
IN,singer,NN,1
NN,Bobby,NNP,1
``,Mac,NNP,1
NNP,Tonight,NNP,1
JJ,parody,NN,1
``,Mack,NNP,1
DT,Knife,NNP,1
'',trademark,NN,1
CD,involving,VBG,1
VBG,singer,NN,1
NN,Nancy,NNP,1
DT,Young,NNP,1
DT,Boots,NNP,1
NNP,Made,NNP,1
IN,Walkin,NNP,1
'',song,NN,1
RB,cracked,VBN,1
JJ,copying,NN,1
IN,songs,NNS,1
CC,musical,JJ,1
RB,actual,JJ,1
JJ,unnerving,JJ,1
NNP,coming,JJ,2
IN,Nancy,NNP,1
IN,Bette,NNP,1
JJ,repositories,NNS,1
VBG,distinctions,NNS,1
IN,pop,NN,1
NN,singers,NNS,1
JJS,decisions,NNS,1
VBG,effect,NN,1
VBP,music,NN,1
RBR,circumspect,JJ,1
BOS,Joanne,NNP,1
NNP,Lipman,NNP,1
DT,tissue,NN,1
IN,Buhrmann-Tetterode,NNP,1
IN,Celtona,NNP,1
VBG,maker,NN,1
CC,away-from-home,JJ,1
DT,Benelux,NNP,1
IN,Invercon,NNP,1
NNP,Papermils,NNP,1
CC,Finnish,JJ,1
DT,Celtona,NNP,1
DT,ventures,NNS,1
PRP$,THR,NNP,1
IN,definitive,JJ,1
$,21.25-a-share,JJ,1
NNP,obtain,VB,1
VBG,covenant,NN,1
",",Vitro,NNP,1
IN,bargain-hunting,NN,1
VBZ,fixed,VBN,1
JJ,Interstate,NNP,1
IN,market-moving,JJ,1
TO,drift,VB,1
CC,forecast,VBP,2
JJ,tight,JJ,1
VB,bearish,JJ,1
VBP,lent,VBN,1
VBN,support,NN,1
RB,post,IN,2
VBP,evaporated,VBN,1
TO,reassure,VB,1
DT,flagging,JJ,1
JJ,televised,VBN,1
VBN,interview,NN,1
VB,sterling,NN,2
NNS,liberalize,VBP,1
PRP$,economies,NNS,1
JJ,Conservative,NNP,2
RBR,clear-cut,JJ,1
JJS,popularity,NN,1
IN,polling,NN,1
PRP$,pledge,NN,1
CD,London-based,JJ,1
",",dismissed,VBD,1
JJ,doomsayers,NNS,1
VB,painting,VBG,1
DT,gloomier,RBR,1
RBR,picture,NN,1
``,fits,NNS,1
VBG,oversold,VBN,1
CC,overbought,VBN,1
PRP,observe,VBP,1
IN,cross,NN,1
POS,Monogram,NNP,1
DT,Visa,NNP,1
DT,Omaha,NNP,1
IN,receivables,NNS,1
CC,electrical-products,NNS,1
VBD,Commercial,NNP,1
VB,Visa,NNP,1
IN,Monogram,NNP,1
``,operational,JJ,1
",",Monogram,NNP,1
",",Blue,NNP,1
NNP,Ash,NNP,1
BOS,EAST,NNP,2
NNS,GERMANS,NNS,1
NNS,RALLIED,VBD,1
",",Egon,NNP,1
NNP,massed,VBD,1
",",Halle,NNP,1
CC,Schwerin,NNP,1
DT,legalization,NN,1
BOS,Krenz,NNP,1
",",vowed,VBD,1
POS,hold,NN,1
RB,destabilize,VB,1
BOS,Communist,JJ,1
NNS,clashed,VBD,1
DT,candlelight,NN,1
NN,vigil,NN,1
POS,Lubyanka,NNP,1
DT,persecuted,VBN,1
IN,Stalin,NNP,1
CD,Muscovites,NNS,1
DT,splinter,NN,1
IN,Pushkin,NNP,1
NN,clubbed,VBD,1
CC,detained,VBD,1
IN,Yugoslavia,NNP,1
NNP,dispersed,VBD,1
JJ,Albanians,NNS,1
VBD,protesting,VBG,1
IN,Kosovo,NNP,1
BOS,Azem,NNP,1
NNP,Vlasi,NNP,1
IN,inciting,VBG,1
VBG,riots,NNS,1
CC,strikes,NNS,1
CC,opposing,VBG,1
VBG,constitutional,JJ,1
TO,Kosovo,NNP,1
POS,autonomy,NN,1
NNP,sentenced,VBD,2
CD,life,NN,1
",",Israeli,JJ,1
VBD,20-year,JJ,1
JJS,sentence,NN,1
DT,22-month-old,JJ,1
JJ,Arab,NNP,2
NNP,uprising,NN,1
DT,Israeli-occupied,JJ,1
JJ,negotiators,NNS,1
VBG,differences,NNS,1
VB,chemical-weapons,NNS,1
VBZ,urged,VBN,1
NN,gases,NNS,1
PRP$,destruction,NN,1
VBD,peaceful,JJ,1
DT,anti-apartheid,JJ,1
VBN,ease,VB,1
VB,tensions,NNS,1
CC,assisted,VBN,1
RB,"70,000",CD,1
DT,anti-government,NN,2
WDT,leaders,NNS,1
VB,violence,NN,1
VB,elections,NNS,1
JJ,ceasefire,NN,1
DT,USS,NNP,1
NNP,Lexington,NNP,1
TO,dock,NN,1
IN,Pensacola,NNP,1
CD,sailors,NNS,1
DT,captain,NN,1
DT,flier,NN,1
NNS,torched,VBD,1
NNP,Capitol,NNP,1
NN,protecting,VBG,1
WDT,Bush,NNP,1
DT,scaling,NN,2
POS,five-month-old,JJ,1
CD,protests,NNS,1
VBG,harassment,NN,1
IN,diplomats,NNS,1
IN,Algeria,NNP,1
CD,earthquakes,NNS,1
CD,dead,JJ,1
CD,injured,JJ,1
JJS,damage,NN,1
IN,Tipasa,NNP,1
NNS,west,RB,1
IN,Algiers,NNP,1
IN,rescue,NN,1
VBD,searching,VBG,1
IN,suvivors,NNS,1
DT,feeble,JJ,1
POS,Thatcher,NNP,1
CD,poll,NN,1
JJ,Broadcasting,NNP,1
VBG,amnesty,NN,1
NNS,convicted,VBN,1
NN,finances,NNS,1
NNP,Fossan,NNP,1
",",Sunday,NNP,1
CC,construction-management,JJ,1
IN,Irian,NNP,1
NNP,Jaya,NNP,1
IN,Freeport-McMoRan,NNP,1
NNP,Copper,NNP,1
VB,expansion,NN,1
TO,"52,000",CD,1
IN,"32,000",CD,1
",",Fluor,NNP,1
VB,personnel,NNS,1
VBN,world-wide,JJ,1
TO,"2,440",CD,1
IN,"2,888",CD,1
TO,"5,200",CD,1
VBN,half,NN,2
",",Nixdorf,NNP,1
IN,damping,VBG,1
VBN,beneficial,JJ,1
BOS,GREAT,JJ,1
JJ,NORTHERN,NNP,1
NNP,NEKOOSA,NNP,1
WDT,surprised,VBD,1
VB,unsolicited,JJ,1
VBD,halting,VBG,1
JJ,pension-insurance,JJ,1
VB,reviewed,VBN,1
RP,responsiblilty,NN,1
NN,shortfall,NN,1
VBP,stand,VB,1
CC,Acadia,NNP,1
RB,swell,VB,1
WDT,forced,VBD,1
VB,unhappy,JJ,1
PRP$,failed,JJ,1
NNP,pending,VBG,1
POS,Paribas,NNP,1
TO,Quebecor,NNP,1
VBG,Quebecor,NNP,1
VBG,turmoil,NN,1
NN,"126,630,000",CD,1
VBD,property,NN,1
CD,deductible,JJ,1
JJR,per-share,JJ,1
JJ,framework,NN,1
WDT,removes,VBZ,1
RB,"341,000",CD,1
IN,Vauxhall,NNP,1
VBD,meeting,VBG,1
